,Property description,Property type,Property Area,Number of Beds ,Number of Baths ,Property price,Property location
76,For quick sale Villa with a Garden and Roof in New Cairo - Perfect Space and an Unbeatable Price!,Townhouse,221.0,5.0,3.0,36000000.0,"Sodic East, New Heliopolis, Cairo"
77,"Townhouse for sale in Sakin Compound, ready for viewing",Townhouse,224.0,5.0,3.0,17800000.0,"Taj City Compound, New Cairo, Cairo"
78,Townhouse for sale at a 42% discount next to Madinaty in the heart of Mostakbal City,Townhouse,248.0,5.0,3.0,9850000.0,"The Butterfly, Mostakbal City, Cairo"
79,Town House for sale next to madinaty,Townhouse,206.0,5.0,3.0,9010000.0,"Madinaty, Cairo"
80,Town House for sale next to madinaty,Townhouse,206.0,5.0,3.0,7000000.0,"Madinaty, Cairo"
81,Villa for sale . . Next to Madinaty with 8 years installments,Townhouse,206.0,5.0,3.0,9000000.0,"Madinaty, Cairo"
82,Villa for sale . . Next to Madinaty with 8 years installments,Townhouse,206.0,5.0,3.0,14800000.0,"Madinaty, Cairo"
83,Town House for sale next to madinaty,Townhouse,206.0,5.0,3.0,9000000.0,"Madinaty, Cairo"
84,Villa for sale . . Next to Madinaty with 8 years installments,Townhouse,206.0,5.0,3.0,9028000.0,"Madinaty, Cairo"
85,Town House for sale next to madinaty,Townhouse,206.0,5.0,3.0,8700000.0,"Madinaty, Cairo"
86,Town House for sale next to madinaty,Townhouse,206.0,5.0,3.0,9000000.0,"Madinaty, Cairo"
87,Town House Corner 265m in a prime location Ready To Move,Townhouse,265.0,5.0,3.0,10800000.0,"New Zayed Compound, Sheikh Zayed, Giza"
88,Town House High fully finished and luxury furniture In a prime location at golf extension,Townhouse,220.0,5.0,3.0,31000000.0,"Palm hills golf extension Compound, 6th of October, Giza"
89,Townhouse (immediate receipt) for sale in Fifth Settlement minutes from the American University,Townhouse,280.0,5.0,3.0,25000000.0,"La Vista City, New Capital City, Cairo"
90,Own a Townhouse Villa in Sodic East New Cairo,Townhouse,219.0,5.0,3.0,16000000.0,"Sodic East, New Heliopolis, Cairo"
91,Town House Ready to Move 220m Fully Finished in a prime location - Golf Extension,Townhouse,219.0,5.0,3.0,31000000.0,"Palm hills golf extension Compound, 6th of October, Giza"
92,"Townhouse for sale, price 3 million 725 thousand",Townhouse,263.0,5.0,3.0,3725000.0,"Parkdale New Zayed Compound, Sheikh Zayed, Giza"
93,He inspected and received a townhouse villa on the key at the end of Teseen Street in La Vista City,Townhouse,230.0,5.0,3.0,20000000.0,"5th Settlement, New Cairo, Cairo"
94,فيلا كورنر علي البحر مباشره متشطبه بالكامل في سهل حشيش بسعر لقطه,Townhouse,177.0,5.0,3.0,11000000.0,"Sahl Hasheesh, Red Sea"
95,"Chalet ready for inspection at the price of old, in installments over 5 years, in Ain Sokhna, La Vista Gardens Compound, with a 20% down payment",Chalet,180.0,4.0,2.0,12900000.0,"La Vista Gardens, Ain Sukhna, Suez"
96,Chalet for sale in Ora Silver Sands - North Coast - Sidi Heneish,Chalet,280.0,4.0,2.0,22500000.0,"Silver Sands, North Coast, Matruh"
97,Invest in Comfort & Luxury at Makadi Heights,Chalet,186.0,4.0,2.0,3400000.0,"Makadi Heights, Makadi Bay, Red Sea"
98,0% Down Payment Chalet For Sale in Makadi heights Red Sea with Prime location,Chalet,212.0,4.0,2.0,13000000.0,"Hurghada, Red Sea"
99,Full View over the Sea and Fully Finished,Chalet,240.0,4.0,2.0,18950000.0,"Playa, North Coast, Matruh"
100,Senior Chalet fully finished for sale now at Hacienda Waters - new launch from palm hills in Ras El Hikma,Chalet,154.0,4.0,2.0,16000000.0,"North Coast, Matruh"
101,Immediate receipt chalet for sale in La Vista Gardens Sokhna,Chalet,150.0,4.0,2.0,13000000.0,"La Vista Gardens, Ain Sukhna, Suez"
102,"Chalet for sale, Ready to move, first row on the sea, La Vista Topaz, Ain Sokhna, installments",Chalet,190.0,4.0,2.0,12720000.0,"La Vista Topaz of Ain Sokhna, Ain Sukhna, Suez"
103,Twin House - ready to move - Overlooking park - very prime location-in villette compound,Twin House,313.0,4.0,3.0,32000000.0,"Villette Compound, New Cairo, Cairo"
104,"Twin house in Burdock, immediate delivery, 433 sqm, with garden 200 sqm, with 5% down payment and 8 years",Twin House,433.0,4.0,3.0,32000000.0,"New Capital City, Cairo"
105,Twin house prime location for sale in mountain view hyde park new cairo,Twin House,375.0,4.0,3.0,22500000.0,"Mountain View Hyde Park Compound, New Cairo, Cairo"
106,"Twin houses for sale in the Grove the best location in Sokhna are fully finished off with a total price of 15,850,000 in advance of 20%",Twin House,170.0,4.0,3.0,15850000.0,"The Groove, Ain Sukhna, Suez"
107,"For sale, a twin house, 240 m, fully finished, Solana Compound, New Sheikh Zayed",Twin House,241.0,4.0,3.0,23562000.0,"Solana, Sheikh Zayed, Giza"
108,Twin House in New Cairo，Palm Hills Katameya Extension Compound 4 bedrooms 36000000 EGP - 501199151,Twin House,360.0,4.0,3.0,36000000.0,"Palm Hills Katameya Extension Compound, New Cairo, Cairo"
109,Own Your Private Villa with Flexible 10-Year Installments,Twin House,403.0,4.0,3.0,9000000.0,"Efid, Sheikh Zayed, Giza"
110,Twin House in Madinaty 4 bedrooms 26000000 EGP - 501192950,Twin House,275.0,4.0,3.0,26000000.0,"Madinaty, Cairo"
111,"twin house for sale, semi-finished, with garden view, in Mountain View Hyde Park Compound",Twin House,375.0,4.0,3.0,24240000.0,"Mountain View Hyde Park Compound, New Cairo, Cairo"
112,PK2 - Delivered Twinhouse Villa 360m - Very Prime,Twin House,360.0,4.0,3.0,27500000.0,"Palm Hills Katameya Extension Compound, New Cairo, Cairo"
113,Town House for sale in **Badya Palm Hills Compound** in 6th of October,Twin House,194.0,4.0,3.0,18082000.0,"Badya Palm Hills Compound, 6th of October, Giza"
114,Own Twin House 266m with swimming pool in Zayed near waslet dahshour,Twin House,266.0,4.0,3.0,15640000.0,"IRA, Sheikh Zayed, Giza"
115,Own Twin House 266m with swimming pool in Zayed near waslet dahshour,Twin House,266.0,4.0,3.0,15640000.0,"IRA, Sheikh Zayed, Giza"
116,**Villa for Immediate Delivery in Al Obour | Located in a Prestigious Neighborhood | For Sale**,Twin House,308.0,4.0,3.0,12000000.0,"New Obour City, Obour City, Cairo"
117,"Twin house for sale in At East Mostakbal City Compound, installments over 10 years without interest",Twin House,190.0,4.0,3.0,24000000.0,"At East, Mostakbal City, Cairo"
118,"Twin House for sale: 235 sqm, amazing offer with installment payments in Karma Gates Compound, located in the best location in Sheikh Zayed.",Twin House,235.0,4.0,3.0,13500000.0,"Karma Gates Compound, Sheikh Zayed, Giza"
119,"Twin house for sale in The Valleys - Hassan allam , EL Mostakbal city",Twin House,218.0,4.0,3.0,35590168.0,"Mostakbal City, Cairo"
120,"Prime Location Overlooking Lagoon Twinhouse in Mivida - Avenues 2, 4 Bedrooms, 3 Bathrooms, Reception",Twin House,354.0,4.0,3.0,46000000.0,"Mivida Compound, New Cairo, Cairo"
121,5 % down payment and installments up to 7 years In a prime location in heart new cairo,Twin House,225.0,4.0,3.0,17000000.0,"East ville, New Cairo, Cairo"
122,For sale Twin House Greens sheikh zayed,Twin House,303.0,4.0,3.0,17000000.0,"Greens Compound, Sheikh Zayed, Giza"
123,"Twin House villa For sale, installments over 6 years, Sheikh Zayed, Entrance 4, Gates Compound - Prive",Twin House,221.0,4.0,3.0,14000000.0,"Waslet Dahshur, Sheikh Zayed, Giza"
124,Villa for sale in La Vida Al Bustan Compound ready to move,Twin House,450.0,4.0,3.0,13500000.0,"Reem Residence Compound, 6th of October, Giza"
125,"Translation: **""La Vista 6 El Sokhna compound with a 10% down payment and installments over 8 years. ""**",Twin House,180.0,4.0,3.0,16500000.0,"La Vista Topaz of Ain Sokhna, Ain Sukhna, Suez"
126,READY TO MOVE Twin House With installment 5 Years,Twin House,210.0,4.0,3.0,22580000.0,"EL Patio Casa, Shorouk City, Cairo"
127,"Apartment for sale 288m, Smouha (Al Safa Street)",Apartment,288.0,6.0,3.0,8100000.0,"Smoha, Alexandria"
128,villa for sale Apartment 400m+ Garden 260 m meters-NEW CAIRO(Golden Gates Compound),Apartment,400.0,6.0,3.0,14500000.0,"5th Settlement, New Cairo, Cairo"
129,Apartment in Smoha 6 bedrooms 17000000 EGP - 501149044,Apartment,400.0,6.0,3.0,17000000.0,"Smoha, Alexandria"
130,Apartment Ready to Move Super Deluxe Finishing Italian Marble With Garden View in a Prime Location Ard al Golf Heliopolis,Apartment,400.0,6.0,3.0,13000000.0,"Heliopolis, Cairo"
131,"Apartment for sale, 397 sqm, super luxury, in Nasr City",Apartment,397.0,6.0,3.0,5000000.0,"Nasr City, Cairo"
132,apartment for sale in mountain view i city in very prime,Apartment,235.0,6.0,3.0,12300000.0,"Mountain View iCity Compound, New Cairo, Cairo"
133,Ready to Move - Fully Finished Apartment With Installments up to 10 Years At Heat Of October,Apartment,195.0,3.0,3.0,3210000.0,"Badya Palm Hills Compound, 6th of October, Giza"
134,"Apartment for sale in El Patio Oro, Fifth Settlement, immediate receipt",Apartment,171.0,3.0,3.0,9000000.0,"EL Patio ORO Compound, New Cairo, Cairo"
135,"Limited Offer Ready To Move Duplex Garden , fully finished, 175m for sale with installments at heart of New Cairo , El-Burouj Compound",Apartment,175.0,3.0,3.0,3562000.0,"Al Burouj, Shorouk City, Cairo"
136,"Ready To Move - Fully Finished Garden Apartment 157m For Sale with installments Near 90st , New Cairo",Apartment,157.0,3.0,3.0,3100000.0,"Galleria Moon Valley Compound, New Cairo, Cairo"
137,An apartment for a shot in Ganet October Compound,Apartment,150.0,3.0,3.0,2500000.0,"Janna 1, Sheikh Zayed, Giza"
138,5% Down Payment For Limited Time Apartment Open View on Landscape in Best Location New Capital,Apartment,196.0,3.0,3.0,7176000.0,"ORO, New Capital City, Cairo"
139,Ready To Move Apartment 188m Finished + Kitchen + ACs,Apartment,188.0,3.0,3.0,15500000.0,"Regents Park Compound, New Cairo, Cairo"
140,Own your finished apartment without a down payment in Al Burouj Compound in a prime location,Apartment,176.0,3.0,3.0,13508000.0,"Shorouk City, Cairo"
141,"Apartment for sale, 195 sqm, 1st floor, 3 bedrooms, Saudi Street, District 7, furnished with natural gas",Apartment,195.0,3.0,3.0,5700000.0,"Sheikh Zayed, Giza"
142,Own your finished apartment without a down payment in Al Burouj Compound in a prime location,Apartment,176.0,3.0,3.0,13508000.0,"Al Burouj, Shorouk City, Cairo"
143,S Villa With Down Payment 5% Only - Prime Location,Apartment,165.0,3.0,3.0,15000000.0,"5th Settlement, New Cairo, Cairo"
144,RESALE Apartment 175m With G 70m RAEDY TO MOVE,Apartment,175.0,3.0,3.0,7000000.0,"Mountain View iCity Compound, New Cairo, Cairo"
145,RESALE Apartment 175m Ready To Move SPECIAL PRICE,Apartment,175.0,3.0,3.0,5800000.0,"5th Settlement, New Cairo, Cairo"
